logFC	logCPM	PValue	FDR
YML042W	5.26799812002741	6.97959824170401	1.47143489441502e-11	4.31042953953257e-10
YLR355C	-2.39587629937017	11.0933305732145	1.4721199547735e-11	4.31042953953257e-10
YER056C	-2.37455324046828	10.0224851737856	1.6109569544865e-11	4.67646113165398e-10
YML091C	2.39992975695567	8.04510712212409	1.61402977258025e-11	4.67646113165398e-10
YOR202W	-2.11354035469717	6.86042800867745	1.65072385649678e-11	4.75786761554854e-10
YOL152W	4.93959610006977	4.39795506663693	1.97920527783719e-11	5.67508912308342e-10
YDL204W	3.70792745829606	7.20125293753089	2.42413674521556e-11	6.91503749898087e-10
YPR001W	5.2187620310375	6.089908578933	3.02839400519029e-11	8.59442688447336e-10
YNL160W	4.63573473336976	9.53419236114531	3.45009820399282e-11	9.73996792253185e-10
YPL264C	-2.41957555322018	5.46039851919842	3.4672455380173e-11	9.73996792253185e-10
YGL077C	-2.35986912495743	9.25523357813965	4.06267849024066e-11	1.13549811944403e-09
YOL126C	3.74597764434	9.11785444696712	4.11401449118495e-11	1.14406815046319e-09
YLR295C	2.12218897820551	7.79519406282519	4.31719847322547e-11	1.19456881754149e-09
YLR294C	2.17471416852512	7.24611878236036	4.48365529566412e-11	1.23445514458733e-09
YGR121C	-2.07953731985612	6.72195261890626	4.71988180371529e-11	1.29306068820596e-09
YOR100C	5.14971547562158	5.09155687355353	4.90348977509643e-11	1.33674445395979e-09
YJL130C	-2.18648640895461	10.1379463071563	5.90455615471831e-11	1.60175557648094e-09
YKR009C	4.60788531372273	7.98755865141566	7.16314643929182e-11	1.93370011683127e-09
YIL070C	1.97595198007265	6.75237954760215	7.75807674994605e-11	2.08361282247642e-09
YBR047W	4.21044768918616	4.09454431753354	7.79378124778855e-11	2.08361282247642e-09
YMR300C	-2.59616839607754	7.87001919528233	8.98164812599534e-11	2.38963657352203e-09
YER001W	-2.34748575138037	7.73808666087271	9.3908861612827e-11	2.48656287160471e-09
YAL012W	-2.27684447672034	10.041813326028	1.35357824865267e-10	3.56700096573518e-09
YBR208C	-2.4075765054034	7.84256854309659	1.44436919428551e-10	3.78821759297441e-09
YMR251W	3.50864338235908	4.15860902498058	1.69079410012515e-10	4.41361063683613e-09
YLL041C	2.54987494320817	9.77365939971847	2.04075636938038e-10	5.30213415406152e-09
YDR148C	2.30543071317426	9.6718820791978	2.06664656072067e-10	5.34430937711598e-09
