logFC	logCPM	PValue	FDR
YKR046C	-2.31350913131927	6.15343942259135	5.6203309724932e-18	1.71839290617554e-16
YNR001C	-1.30103204771404	8.56504777224332	7.40941219838633e-18	2.25294984098186e-16
YNL241C	-1.32164922150454	7.99413305365831	8.0505518453948e-18	2.43452207171666e-16
YGR159C	1.74259429868386	9.80194728242367	8.34262467211667e-18	2.50913505084205e-16
YGL156W	-2.1197694688771	4.19402120809548	9.34564771150971e-18	2.79561159110782e-16
YLL039C	-1.55391907373448	6.60877203579516	2.19014533105931e-17	6.51627110864636e-16
YEL072W	-2.22025622967949	4.69196518166949	2.67787727525095e-17	7.92479831082287e-16
YBR084W	1.4252820990338	8.68863092586199	2.79467330320753e-17	8.22644790422898e-16
YIL014C-A	-2.83131450986768	3.63071979052922	2.95654654870134e-17	8.65689343942498e-16
YDL049C	-2.75066345028897	3.49732646769097	3.11900483030914e-17	9.08451196364777e-16
YNL055C	-1.46956898215876	9.47059673187483	3.24339644125392e-17	9.39735911303622e-16
YCL009C	-1.22930391957635	9.1991204525762	6.02676984396194e-17	1.73709084981695e-15
YPL106C	1.35843752814898	10.1634529701621	9.38758775899631e-17	2.69175702892671e-15
YDR248C	-1.86303408391596	4.45879715406179	1.00913631650233e-16	2.87863936882676e-15
YNL064C	1.15105060839245	9.44570377824574	1.10092778523442e-16	3.12437659666015e-15
YJR025C	-1.62894688108377	5.51513009395795	1.63098506487885e-16	4.6050364025712e-15
YER055C	-1.22456492813833	9.63795209499933	2.44088768014318e-16	6.8567880314276e-15
YCR057C	1.33931331161106	7.69514622545172	2.75214311352381e-16	7.69210100517211e-15
YBL095W	-1.5451704801911	5.33503109261645	3.19756283831936e-16	8.89211695842179e-15
YEL024W	-1.40656237307127	7.15411642139245	3.65155597971837e-16	1.01038553958807e-14
YJR019C	-1.71704317104744	5.2772428263012	4.0910640527075e-16	1.12636559540713e-14
YOL119C	-1.67097327085153	6.28885220464076	4.13711119096494e-16	1.13340462033663e-14
YGR244C	-1.46387007839111	6.81298942122543	7.19803642036962e-16	1.96226273646924e-14
YDR101C	1.57793345141192	8.0415874470518	7.52045406005041e-16	2.04010748864309e-14
YJR047C	2.6421050611824	4.05919346822575	8.13840836012243e-16	2.19697326170329e-14
YDR055W	-1.52290136408329	8.02910058892587	1.13411472739595e-15	3.04669461233455e-14
YER056C	-1.01313264635333	9.93754059687227	1.51517432051054e-15	4.05071241048567e-14
YEL065W	2.03092152714261	7.71369530055257	1.7877930714911e-15	4.75656098924604e-14
YHR163W	-1.17941929722833	8.12621419258567	2.13457461496553e-15	5.65202675560729e-14
YHL001W	1.31219163190786	7.71132112916421	2.17439056562889e-15	5.73003685247157e-14
YLR397C	1.37673706590849	6.82700426693939	2.56837531816545e-15	6.73620332261971e-14
YBR248C	-1.38162896039289	7.00535699415391	2.68628839332081e-15	7.01222640030065e-14
YER081W	-1.88082015320362	6.19897395307513	2.76360553647273e-15	7.17294259628244e-14
YHR139C	-2.89187432913094	1.88812022891578	2.7737797535317e-15	7.17294259628244e-14
YHR048W	3.25476264691689	3.45421374595957	3.20856018697099e-15	8.25868468590579e-14
YDL182W	-1.46362168278255	7.33535252931713	3.4715600657273e-15	8.89426546469207e-14
YMR226C	-1.16134913487365	7.78268092970508	3.52893075006073e-15	8.99958653033922e-14
YDR345C	-1.30802371073478	10.9309296610325	3.8568522373541e-15	9.79074324840257e-14
YBR244W	1.87954733465457	6.86807284261037	4.09650435165675e-15	1.03516233251454e-13
YKR092C	1.59765149462636	8.691274006012	4.99029697751765e-15	1.25528652152649e-13
YNL134C	-1.24897229583869	8.83162600965581	5.06695288041936e-15	1.26880168507877e-13
YKL081W	1.15610020372247	11.1129030267324	7.56705160494804e-15	1.88630917035056e-13
YKL103C	-1.50460042424797	6.1763487437936	8.30040258236693e-15	2.05157035699251e-13
YGL202W	-0.934168131410817	9.75724388172974	8.30415178833253e-15	2.05157035699251e-13
YJL117W	1.36738353304047	8.24855594250653	8.97336970945364e-15	2.20705013209406e-13
YDL039C	3.03565613975417	4.55702140812181	9.73687775686637e-15	2.38424254453533e-13
YNR018W	1.47308114635292	6.61389386142445	1.07894640371856e-14	2.63034775250154e-13
YBR177C	-1.25405532846686	8.19854845070748	1.59315602683354e-14	3.86689712828809e-13
YEL041W	-2.13408013466372	3.19102261270231	1.66673800999449e-14	4.027828885288e-13
YLR094C	1.88780707711446	4.86796161555433	2.29937933471333e-14	5.53250662534937e-13
YPL135W	-1.16388611860706	6.54554806125406	2.58741301606689e-14	6.19859031641305e-13
YER026C	-1.35912207587642	8.76145208643433	2.72317844787153e-14	6.49571962522459e-13
YNL301C	1.4267763186503	7.06462099138802	2.8599065810675e-14	6.79258498696462e-13
YOL140W	-1.56618893972304	6.1255295833564	3.00582936762835e-14	7.10865800019456e-13
YDR178W	-1.429226978234	6.89993853936865	4.29136840843045e-14	1.01057160732996e-12
YNL112W	1.35555915847996	8.91480980066893	5.16170271898427e-14	1.21037554435843e-12
YGR146C	2.6644113714666	3.61216591892074	5.47599269572904e-14	1.27865584717994e-12
YEL046C	1.68797120153582	9.52832174521614	6.36043679493322e-14	1.47893517744372e-12
YER039C	-2.21276649481126	3.85794219853327	6.60610346926551e-14	1.5296308200383e-12
YLR355C	-0.921564571571882	11.0584338859439	6.96990427218788e-14	1.60714376009532e-12
YMR155W	-1.39785655219343	6.19720804131212	1.00916317805353e-13	2.31730665035196e-12
YBL039C	1.43843354665066	8.92410319730986	1.48580818953295e-13	3.39771178548569e-12
YDL131W	-1.43731257862329	6.65223050782475	1.54940795527444e-13	3.52856939279372e-12
YBR208C	-1.58171629391518	7.48842041105425	1.91626561369964e-13	4.34615324025156e-12
YOR306C	1.32141935223376	6.29200151856551	1.96851402199974e-13	4.44643126438635e-12
YNL183C	-1.15318809907008	6.7071230945736	2.00029903109208e-13	4.49985969026976e-12
YGL117W	-2.150867309679	4.04136938081697	2.16000618199533e-13	4.83946324338549e-12
YIR026C	1.51987087215002	6.44781134335406	2.21238353677487e-13	4.93682681149684e-12
YJR074W	-1.25672284185659	5.27590664078001	2.2481970705892e-13	4.99659541712474e-12
YBR287W	-1.10946761042121	8.08114136944346	2.28980093910876e-13	5.06870335881114e-12
YPL019C	1.84692454057726	10.0707488425751	2.43780068572494e-13	5.37481633259037e-12
YOR272W	1.57674997024953	7.38285829235706	2.5818848311753e-13	5.66990105385878e-12
YKL051W	-1.54911906731542	6.10029889485603	2.93632722134159e-13	6.42278057031794e-12
YLR409C	1.25941319802195	7.93965021993063	2.96179001192375e-13	6.45297083700238e-12
YDL022W	-1.28513941022557	8.11881949276183	3.3304165353616e-13	7.22765690458474e-12
YMR291W	-1.68244504311597	6.03504589176953	3.41533749294978e-13	7.38299909608754e-12
YDL067C	-1.34157785960547	7.1594968315057	3.62099528213136e-13	7.7971159110175e-12
YBL054W	2.16145665315158	5.85298852504092	4.0920358859742e-13	8.77725836937257e-12
YOR341W	1.24736824854107	9.11147153912592	4.38269157641205e-13	9.36440740689742e-12
YJL210W	-1.29240157082162	6.46276384390926	4.40742312610339e-13	9.381030607637e-12
YOR289W	-1.90212479813595	3.66104710697457	4.88754999036291e-13	1.03631040791833e-11
YHR137W	1.95614255160813	6.68561485120889	5.08488037168149e-13	1.07146194899388e-11
YOR273C	-1.08423561470546	7.71973851027913	5.09205805177794e-13	1.07146194899388e-11
YDR284C	-1.07354341309109	7.52657618117418	6.08030480297694e-13	1.27456086286645e-11
YNL182C	1.61659382649854	6.75214361624654	6.25259049067031e-13	1.30572965190074e-11
YOR142W	-1.06995515688946	8.60783086170128	6.29739408496253e-13	1.31014206263845e-11
YIL101C	-2.51625964557001	3.70833382794134	6.3315178981871e-13	1.31230786698754e-11
YER119C	-1.70419244257788	6.69263369103424	6.56188382725725e-13	1.35498004104633e-11
YDL174C	-1.14504836096086	7.04881805263443	7.25149615512281e-13	1.49181337258177e-11
YJL052W	-2.17776429756476	6.78658375538801	7.30524922510167e-13	1.49730552635973e-11
YMR136W	-1.53325801133864	5.20100918387351	8.85768319387904e-13	1.80879774151021e-11
YFR047C	-1.2081305780343	7.26592273687755	1.14051594547181e-12	2.32044678023566e-11
YFR053C	-1.71784186743591	7.83953267074082	1.15345522266856e-12	2.33817626455964e-11
YKL163W	-2.3623670847157	3.73523610191801	1.35402414448926e-12	2.73473343635167e-11
YIL009W	1.18787747047553	7.20534649319922	1.38976407444707e-12	2.79671068654185e-11
YPR144C	1.46245552000999	7.02874780732263	1.49784931757125e-12	3.00329642153598e-11
YGR183C	-1.17574171318928	6.68095378569687	1.69565198966937e-12	3.38763108694235e-11
YNL007C	1.02028265720535	8.60186932898302	1.87896841805037e-12	3.74036375017654e-11
YDR258C	-1.14396036011125	6.28710990207023	1.90473679288759e-12	3.77806932324012e-11
YKL120W	-1.41724706811816	5.8504202538615	1.94189243735909e-12	3.83801169583758e-11
YML022W	1.1838498465507	8.47602347758983	2.0607010279462e-12	4.05833433759939e-11
YKL078W	1.72814518938583	5.69907085783843	2.15380643243725e-12	4.22665418337154e-11
YJL153C	-1.70660422035157	4.27119039969482	2.17432291625888e-12	4.25183852246524e-11
YLR149C	-1.86241535699252	4.15290168517325	2.21413683430757e-12	4.31444832431624e-11
YPL087W	-1.36839732859589	7.08805624912989	2.24639440354101e-12	4.36016441202583e-11
YNL132W	1.37473932150683	7.90694473836902	2.25335565926886e-12	4.36016441202583e-11
YGL111W	1.37573956643657	6.45396663916085	2.47190439481724e-12	4.76638289927478e-11
YPR149W	-1.21501297853702	10.0404406320611	2.59487983844358e-12	4.98613368956485e-11
YLR359W	-1.51521514851507	9.2347747464102	3.02752582507334e-12	5.79734529963871e-11
YPL054W	-3.61301856941688	1.90994369251498	3.39964952944062e-12	6.48746913652564e-11
YNL040W	-1.31378083791817	5.12823746006475	3.70630689986168e-12	7.04835133465104e-11
YCR072C	1.33616524168649	6.37574099701738	3.81408509214934e-12	7.22847496573783e-11
YOL064C	-1.13159339761215	7.39845195108397	4.35564557809499e-12	8.22666983930979e-11
YKL148C	-1.30277426427786	7.23206578877178	4.61433612156052e-12	8.6856245226925e-11
YGR234W	2.20932648671292	10.4058831419776	4.92855242217033e-12	9.24563020484428e-11
YMR093W	1.42899352927917	7.25535139024913	5.25464132039961e-12	9.82404900915251e-11
YLR179C	-1.07686932744096	8.87656137825521	6.04395139850877e-12	1.12616926058409e-10
YGR207C	-1.50379920648746	5.60176286743461	6.3301739608627e-12	1.1755430436045e-10
YER036C	1.13648038629052	9.68121551572533	7.02811148171706e-12	1.30078825885693e-10
YHR028C	-0.986004453430846	7.9984747279568	7.13870568448679e-12	1.31685324193166e-10
YAR031W	3.69065236489796	2.53326170832841	8.75366084239179e-12	1.6093939900929e-10
YMR105C	-1.37588733354814	6.6963255627692	8.98293945837861e-12	1.64607903849892e-10
YKL068W	1.27970208713137	7.280264771663	9.01391011030206e-12	1.64630292245583e-10
YGR282C	-1.15271328052499	11.044954713994	9.32389899210271e-12	1.69731766520712e-10
YBR247C	1.37357612172083	6.50531055253383	1.12357835801518e-11	2.03392492725728e-10
YDL054C	-1.18076083013723	6.00390566035985	1.12593659344605e-11	2.03392492725728e-10
YJL208C	1.53891806270771	5.63533290927494	1.1283248150849e-11	2.03392492725728e-10
YPR160W	-1.64071009554555	5.7808460075155	1.17746412159424e-11	2.11561248340992e-10
YNL281W	1.26901129156795	7.01285021647204	1.45780187930926e-11	2.61083352753962e-10
YNL100W	-1.16032928398175	5.65619568900338	1.47689513689727e-11	2.63649602825468e-10
YMR290C	1.55691506904163	8.03330942714192	1.68476180181266e-11	2.99790090393287e-10
YBR034C	1.2879742546753	7.64384382277498	1.69948221064686e-11	3.01440210055119e-10
YGL120C	1.14436333638904	8.23145298524161	1.90622290618205e-11	3.37029954083433e-10
