GeneID,day2,day2,day2,day2,day2,day6,day6,day6,day6,day6,day6,day6,day6
ENSG00000117298,4729,4321,7781,3615,7679,2050,1697,2934,2133,3981,2133,3163,3112
ENSG00000214199,49,49,97,40,51,20,16,25,38,52,38,34,101
ENSG00000231829,1,0,11,0,0,0,0,0,0,0,0,0,1
ENSG00000241334,0,0,10,0,0,0,0,0,0,0,0,0,0
ENSG00000123607,1785,1848,4158,1925,2694,782,552,2028,1648,1603,1648,1546,1974
ENSG00000196805,6,1,0,1,0,4,0,2,0,0,0,0,0
ENSG00000250244,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000255503,5,8,11,9,0,2,4,16,9,14,9,14,22
ENSG00000251195,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000221707,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226835,0,4,0,0,9,0,0,0,0,0,0,1,0
ENSG00000258415,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274832,0,4,0,0,0,0,0,0,0,0,0,0,0
ENSG00000124900,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276058,17,14,49,15,36,8,0,15,7,16,7,28,8
ENSG00000279197,0,0,1,0,0,0,0,0,0,0,0,0,0
